Timestamp,Person,Emotion
1700487363.375368,person1,neutral
1700487363.8204665,person2,neutral
1700487364.0909803,person3,neutral
1700487364.3769286,person4,neutral
1700487364.6079435,person5,neutral
1700487364.843453,person6,neutral
1700487365.1772609,person7,neutral
1700487365.513332,person8,neutral
1700487366.0212474,person9,neutral
1700487366.3829343,person10,neutral
1700487366.6254013,person11,neutral
1700487366.9013968,person12,neutral
1700487367.2253911,person13,neutral
1700487367.5073814,person14,neutral
1700487367.7573779,person15,neutral
1700487368.0083706,person16,neutral
1700487368.2613647,person17,neutral
1700487368.5113623,person18,neutral
1700487368.8323548,person19,neutral
1700487369.1203465,person20,neutral
1700487369.3763425,person21,happy
1700487369.6153371,person22,happy
1700487369.8573296,person23,happy
1700487370.103324,person24,happy
1700487370.347321,person25,happy
1700487370.5903127,person26,happy
1700487370.8403087,person27,happy
1700487371.0863028,person28,neutral
1700487371.4182954,person29,neutral
1700487371.7052877,person30,neutral
1700487371.9602816,person31,neutral
1700487372.208276,person32,neutral
1700487372.455271,person33,neutral
1700487372.6962647,person34,fear
1700487372.8532622,person35,neutral
1700487373.1222596,person36,neutral
1700487373.3672526,person37,neutral
1700487373.6182442,person38,neutral
1700487373.8752394,person39,neutral
1700487374.1262343,person40,neutral
1700487374.3742306,person41,angry
1700487374.6182249,person42,neutral
1700487374.8592167,person43,neutral
1700487375.102211,person44,neutral
1700487375.4252055,person45,neutral
1700487375.7011986,person46,neutral
1700487375.9421923,person47,neutral
1700487376.204186,person48,neutral
1700487376.4561799,person49,neutral
1700487376.705178,person50,neutral
1700487376.9531696,person51,neutral
1700487377.2041645,person52,neutral
1700487377.4521608,person53,neutral
1700487377.6991558,person54,neutral
1700487377.9411485,person55,neutral
1700487378.1931438,person56,neutral
1700487378.445136,person57,neutral
1700487378.6901338,person58,neutral
1700487378.9441252,person59,neutral
1700487379.187121,person60,happy
1700487379.560111,person61,happy
1700487379.8051066,person62,happy
1700487380.0480995,person63,happy
1700487380.2921247,person64,happy
1700487380.531092,person65,happy
1700487380.7830958,person66,neutral
1700487381.0362527,person67,neutral
1700487381.2832477,person68,neutral
1700487381.5272408,person69,neutral
1700487381.7812328,person70,fear
1700487381.9402328,person71,neutral
1700487382.1872249,person72,neutral
1700487382.437219,person73,neutral
1700487382.6842132,person74,neutral
1700487382.939211,person75,neutral
1700487383.1822011,person76,neutral
1700487383.5371954,person77,neutral
1700487383.778191,person78,neutral
1700487384.0191834,person79,happy
1700487384.272177,person80,happy
1700487384.5231717,person81,happy
1700487384.769166,person82,happy
1700487385.0221627,person83,happy
1700487385.2891853,person84,happy
1700487385.5391493,person85,fear
1700487385.7891436,person86,angry
1700487386.039138,person87,angry
1700487386.287137,person88,angry
1700487386.5271263,person89,fear
1700487386.7691233,person90,neutral
1700487387.0281157,person91,neutral
1700487387.2801123,person92,neutral
1700487387.6061032,person93,neutral
1700487387.881097,person94,neutral
1700487388.13609,person95,neutral
1700487388.388085,person96,neutral
1700487388.629079,person97,neutral
1700487388.8770747,person98,neutral
1700487389.1320677,person99,neutral
1700487389.385091,person100,neutral
1700487389.6250577,person101,neutral
1700487389.8740504,person102,neutral
1700487390.1200454,person103,neutral
1700487390.3600407,person104,neutral
1700487390.6120346,person105,neutral
1700487390.8480368,person106,neutral
1700487391.1410525,person107,neutral
1700487391.3930163,person108,neutral
1700487391.7782364,person109,neutral
1700487392.117927,person110,neutral
1700487392.3845613,person111,neutral
1700487392.6385767,person112,neutral
1700487392.9306474,person113,neutral
1700487393.1806748,person114,neutral
1700487393.4277,person115,neutral
1700487393.6732557,person116,neutral
1700487393.92525,person117,happy
1700487394.1772437,person118,happy
1700487394.4252377,person119,happy
1700487394.683233,person120,neutral
1700487394.9392264,person121,neutral
1700487395.1752212,person122,neutral
1700487395.4142168,person123,neutral
1700487395.6592376,person124,neutral
1700487395.9812052,person125,neutral
1700487396.2471974,person126,neutral
1700487396.4851916,person127,neutral
1700487397.5471709,person128,fear
1700487397.7161655,person129,neutral
1700487398.0121565,person130,neutral
1700487398.1691551,person131,happy
1700487398.3541517,person132,neutral
1700487398.6381433,person133,happy
1700487398.806139,person134,happy
1700487398.9531386,person135,happy
1700487399.1141374,person136,neutral
1700487399.2861316,person137,happy
